# thermal-gate sim rates vs arrival time by capture source, per pulse per ms, 4 walls, 0.5 MIP, plastic@2.0cm. n_events=80000000 n_pulse=4.2840e+06
quantity,t_lo_ms,t_hi_ms,t_mid_ms,Al capsule,Capsule CFRP,LS + vessel,Back plastic,SiPM scint,Gas/other,total
leg,2.2500e+01,2.3000e+01,2.2750e+01,6.4260e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.4260e-01
leg,2.3000e+01,2.3500e+01,2.3250e+01,4.2840e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.2840e-01
leg,2.3500e+01,2.4000e+01,2.3750e+01,6.4260e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.4260e-01
leg,2.4000e+01,2.4500e+01,2.4250e+01,6.4260e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.4260e-01
leg,2.4500e+01,2.5000e+01,2.4750e+01,4.2840e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.2840e-01
leg,2.5000e+01,2.5500e+01,2.5250e+01,5.3550e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.3550e-01
leg,2.5500e+01,2.6000e+01,2.5750e+01,3.2130e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.2130e-01
leg,2.6000e+01,2.6500e+01,2.6250e+01,7.4970e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,7.4970e-01
leg,2.6500e+01,2.7000e+01,2.6750e+01,3.2130e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.2130e-01
leg,2.7000e+01,2.7500e+01,2.7250e+01,1.0710e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0710e-01
leg,2.7500e+01,2.8000e+01,2.7750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,2.8000e+01,2.8500e+01,2.8250e+01,2.1420e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.1420e-01
leg,2.8500e+01,2.9000e+01,2.8750e+01,5.3550e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.3550e-01
leg,2.9000e+01,2.9500e+01,2.9250e+01,2.1420e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.1420e-01
leg,2.9500e+01,3.0000e+01,2.9750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.0000e+01,3.0500e+01,3.0250e+01,1.0710e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0710e-01
leg,3.0500e+01,3.1000e+01,3.0750e+01,3.2130e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.2130e-01
leg,3.1000e+01,3.1500e+01,3.1250e+01,3.2130e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.2130e-01
leg,3.1500e+01,3.2000e+01,3.1750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.2000e+01,3.2500e+01,3.2250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.2500e+01,3.3000e+01,3.2750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.3000e+01,3.3500e+01,3.3250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.3500e+01,3.4000e+01,3.3750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.4000e+01,3.4500e+01,3.4250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.4500e+01,3.5000e+01,3.4750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.5000e+01,3.5500e+01,3.5250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.5500e+01,3.6000e+01,3.5750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.6000e+01,3.6500e+01,3.6250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.6500e+01,3.7000e+01,3.6750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.7000e+01,3.7500e+01,3.7250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.7500e+01,3.8000e+01,3.7750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.8000e+01,3.8500e+01,3.8250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.8500e+01,3.9000e+01,3.8750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.9000e+01,3.9500e+01,3.9250e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
leg,3.9500e+01,4.0000e+01,3.9750e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
