# thermal-gate sim rates vs arrival time, per pulse, summed over 4 walls, 0.5 MIP. n_events=80000000 n_pulse=4.2840e+06. Poisson errors.
t_lo_ms,t_hi_ms,t_mid_ms,sipm_per_pulse_per_ms,sipm_err,plastic2.0cm_per_pulse_per_ms,plastic2.0cm_err,plastic2.5cm_per_pulse_per_ms,plastic2.5cm_err,leg2.0cm_per_pulse_per_ms,leg2.0cm_err,leg2.5cm_per_pulse_per_ms,leg2.5cm_err
1.500000e+01,1.550000e+01,1.525000e+01,2.666790e+01,1.690009e+00,9.746100e+00,1.021669e+00,5.569200e+00,7.723091e-01,2.356200e+00,5.023435e-01,2.142000e+00,4.789658e-01
1.550000e+01,1.600000e+01,1.575000e+01,2.259810e+01,1.555717e+00,9.531900e+00,1.010379e+00,5.890500e+00,7.942749e-01,2.463300e+00,5.136336e-01,2.034900e+00,4.668381e-01
1.600000e+01,1.650000e+01,1.625000e+01,2.356200e+01,1.588550e+00,6.104700e+00,8.085873e-01,3.213000e+00,5.866109e-01,1.713600e+00,4.284000e-01,1.285200e+00,3.710053e-01
1.650000e+01,1.700000e+01,1.675000e+01,1.756440e+01,1.371549e+00,6.747300e+00,8.500799e-01,4.498200e+00,6.940873e-01,2.034900e+00,4.668381e-01,1.820700e+00,4.415846e-01
1.700000e+01,1.750000e+01,1.725000e+01,1.328040e+01,1.192615e+00,5.997600e+00,8.014630e-01,2.891700e+00,5.565079e-01,1.606500e+00,4.147965e-01,1.178100e+00,3.552105e-01
1.750000e+01,1.800000e+01,1.775000e+01,1.317330e+01,1.187796e+00,5.247900e+00,7.497000e-01,2.998800e+00,5.667199e-01,2.142000e+00,4.789658e-01,1.820700e+00,4.415846e-01
1.800000e+01,1.850000e+01,1.825000e+01,1.081710e+01,1.076342e+00,3.748500e+00,6.336121e-01,2.356200e+00,5.023435e-01,1.285200e+00,3.710053e-01,8.568000e-01,3.029245e-01
1.850000e+01,1.900000e+01,1.875000e+01,1.113840e+01,1.092210e+00,3.855600e+00,6.426000e-01,2.142000e+00,4.789658e-01,5.355000e-01,2.394829e-01,4.284000e-01,2.142000e-01
1.900000e+01,1.950000e+01,1.925000e+01,1.017450e+01,1.043882e+00,4.391100e+00,6.857746e-01,3.320100e+00,5.963076e-01,1.713600e+00,4.284000e-01,1.499400e+00,4.007315e-01
1.950000e+01,2.000000e+01,1.975000e+01,9.103500e+00,9.874132e-01,3.427200e+00,6.058491e-01,1.927800e+00,4.543868e-01,9.639000e-01,3.213000e-01,7.497000e-01,2.833600e-01
2.000000e+01,2.050000e+01,2.025000e+01,8.353800e+00,9.458816e-01,3.427200e+00,6.058491e-01,2.142000e+00,4.789658e-01,1.499400e+00,4.007315e-01,1.071000e+00,3.386799e-01
2.050000e+01,2.100000e+01,2.075000e+01,6.426000e+00,8.295930e-01,2.677500e+00,5.355000e-01,1.071000e+00,3.386799e-01,4.284000e-01,2.142000e-01,1.071000e-01,1.071000e-01
2.100000e+01,2.150000e+01,2.125000e+01,5.997600e+00,8.014630e-01,2.356200e+00,5.023435e-01,9.639000e-01,3.213000e-01,8.568000e-01,3.029245e-01,5.355000e-01,2.394829e-01
2.150000e+01,2.200000e+01,2.175000e+01,5.890500e+00,7.942749e-01,2.570400e+00,5.246807e-01,1.499400e+00,4.007315e-01,1.071000e+00,3.386799e-01,5.355000e-01,2.394829e-01
2.200000e+01,2.250000e+01,2.225000e+01,6.426000e+00,8.295930e-01,2.570400e+00,5.246807e-01,1.606500e+00,4.147965e-01,1.178100e+00,3.552105e-01,1.071000e+00,3.386799e-01
2.250000e+01,2.300000e+01,2.275000e+01,4.391100e+00,6.857746e-01,1.606500e+00,4.147965e-01,1.071000e+00,3.386799e-01,6.426000e-01,2.623404e-01,6.426000e-01,2.623404e-01
2.300000e+01,2.350000e+01,2.325000e+01,6.961500e+00,8.634678e-01,1.820700e+00,4.415846e-01,1.285200e+00,3.710053e-01,4.284000e-01,2.142000e-01,3.213000e-01,1.855026e-01
2.350000e+01,2.400000e+01,2.375000e+01,5.355000e+00,7.573114e-01,2.249100e+00,4.907939e-01,1.178100e+00,3.552105e-01,6.426000e-01,2.623404e-01,5.355000e-01,2.394829e-01
2.400000e+01,2.450000e+01,2.425000e+01,4.069800e+00,6.602087e-01,1.820700e+00,4.415846e-01,8.568000e-01,3.029245e-01,6.426000e-01,2.623404e-01,5.355000e-01,2.394829e-01
2.450000e+01,2.500000e+01,2.475000e+01,3.427200e+00,6.058491e-01,1.285200e+00,3.710053e-01,9.639000e-01,3.213000e-01,4.284000e-01,2.142000e-01,3.213000e-01,1.855026e-01
2.500000e+01,2.550000e+01,2.525000e+01,4.819500e+00,7.184486e-01,2.142000e+00,4.789658e-01,1.499400e+00,4.007315e-01,5.355000e-01,2.394829e-01,5.355000e-01,2.394829e-01
2.550000e+01,2.600000e+01,2.575000e+01,4.176900e+00,6.688393e-01,1.178100e+00,3.552105e-01,8.568000e-01,3.029245e-01,3.213000e-01,1.855026e-01,2.142000e-01,1.514623e-01
2.600000e+01,2.650000e+01,2.625000e+01,4.069800e+00,6.602087e-01,1.820700e+00,4.415846e-01,1.499400e+00,4.007315e-01,7.497000e-01,2.833600e-01,7.497000e-01,2.833600e-01
2.650000e+01,2.700000e+01,2.675000e+01,2.998800e+00,5.667199e-01,1.285200e+00,3.710053e-01,6.426000e-01,2.623404e-01,3.213000e-01,1.855026e-01,3.213000e-01,1.855026e-01
2.700000e+01,2.750000e+01,2.725000e+01,2.998800e+00,5.667199e-01,9.639000e-01,3.213000e-01,7.497000e-01,2.833600e-01,1.071000e-01,1.071000e-01,0.000000e+00,0.000000e+00
2.750000e+01,2.800000e+01,2.775000e+01,2.034900e+00,4.668381e-01,3.213000e-01,1.855026e-01,3.213000e-01,1.855026e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.800000e+01,2.850000e+01,2.825000e+01,1.499400e+00,4.007315e-01,7.497000e-01,2.833600e-01,5.355000e-01,2.394829e-01,2.142000e-01,1.514623e-01,2.142000e-01,1.514623e-01
2.850000e+01,2.900000e+01,2.875000e+01,3.320100e+00,5.963076e-01,9.639000e-01,3.213000e-01,7.497000e-01,2.833600e-01,5.355000e-01,2.394829e-01,5.355000e-01,2.394829e-01
2.900000e+01,2.950000e+01,2.925000e+01,2.463300e+00,5.136336e-01,8.568000e-01,3.029245e-01,6.426000e-01,2.623404e-01,2.142000e-01,1.514623e-01,2.142000e-01,1.514623e-01
2.950000e+01,3.000000e+01,2.975000e+01,2.356200e+00,5.023435e-01,5.355000e-01,2.394829e-01,4.284000e-01,2.142000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e+01,3.050000e+01,3.025000e+01,1.713600e+00,4.284000e-01,3.213000e-01,1.855026e-01,3.213000e-01,1.855026e-01,1.071000e-01,1.071000e-01,1.071000e-01,1.071000e-01
3.050000e+01,3.100000e+01,3.075000e+01,2.249100e+00,4.907939e-01,7.497000e-01,2.833600e-01,6.426000e-01,2.623404e-01,3.213000e-01,1.855026e-01,3.213000e-01,1.855026e-01
3.100000e+01,3.150000e+01,3.125000e+01,1.713600e+00,4.284000e-01,8.568000e-01,3.029245e-01,6.426000e-01,2.623404e-01,3.213000e-01,1.855026e-01,2.142000e-01,1.514623e-01
3.150000e+01,3.200000e+01,3.175000e+01,1.071000e-01,1.071000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.200000e+01,3.250000e+01,3.225000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+01,3.300000e+01,3.275000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.300000e+01,3.350000e+01,3.325000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.350000e+01,3.400000e+01,3.375000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.400000e+01,3.450000e+01,3.425000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.450000e+01,3.500000e+01,3.475000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.500000e+01,3.550000e+01,3.525000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.550000e+01,3.600000e+01,3.575000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.600000e+01,3.650000e+01,3.625000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.650000e+01,3.700000e+01,3.675000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.700000e+01,3.750000e+01,3.725000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+01,3.800000e+01,3.775000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.800000e+01,3.850000e+01,3.825000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.850000e+01,3.900000e+01,3.875000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.900000e+01,3.950000e+01,3.925000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.950000e+01,4.000000e+01,3.975000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
